date	hours	sales	transactions	items
2010-01-01	9	717.5000000000005	18	175
2010-01-01	10	2665.770000000001	55	757
2010-01-01	11	2824.450000000003	65	778
2010-01-01	12	2523.370000000003	75	773
2010-01-01	13	3789.5600000000013	104	1091
2010-01-01	14	3826.990000000004	99	1166
2010-01-01	15	4247.160000000005	93	1257
2010-01-01	16	3924.100000000003	118	1165
2010-01-01	17	3199.9200000000037	99	942
2010-01-01	18	3109.6900000000032	71	863
2010-01-01	19	2208.230000000002	67	695
2010-01-01	20	1720.3000000000009	49	515
2010-01-01	21	1099.98	21	336
2010-01-01	22	17.43	2	12
2010-01-02	9	1717.400000000001	41	522
2010-01-02	10	4592.980000000001	89	1365
2010-01-02	11	4878.270000000002	119	1345
2010-01-02	12	6134.199999999924	135	1674
2010-01-02	13	7894.719999999944	153	2080
2010-01-02	14	5757.329999999997	133	1757
2010-01-02	15	8583.29999999994	149	2376
2010-01-02	16	8949.46999999992	169	2557
2010-01-02	17	7622.74999999996	160	2138
2010-01-02	18	3543.330000000001	102	1038
2010-01-02	19	2998.980000000001	79	931
2010-01-02	20	3006.310000000002	64	844
2010-01-02	21	133.24	5	27
2010-01-03	9	2380.430000000001	49	672
2010-01-03	10	5041.820000000001	101	1439
2010-01-03	11	7309.259999999962	144	2035
2010-01-03	12	8692.509999999913	165	2550
2010-01-03	13	7864.009999999946	164	2307
2010-01-03	14	7516.189999999948	147	2229
2010-01-03	15	6989.01999999996	147	2001
2010-01-03	16	7658.839999999951	174	2160
2010-01-03	17	8565.069999999947	173	2385
2010-01-03	18	4423.070000000001	101	1230
2010-01-03	19	3293.630000000002	92	1035
2010-01-03	20	2232.040000000002	80	688
2010-01-03	21	265.66999999999996	5	73
2010-01-04	9	974.71	31	252
2010-01-04	10	3513.410000000002	83	892
2010-01-04	11	5778.570000000007	100	1577
2010-01-04	12	5191.040000000001	118	1386
2010-01-04	13	6208.499999999999	142	1718
2010-01-04	14	5617.800000000003	132	1594
2010-01-04	15	6032.100000000002	138	1805
2010-01-04	16	7201.479999999972	155	2128
2010-01-04	17	5036.780000000002	140	1448
2010-01-04	18	5889.180000000003	137	1736
2010-01-04	19	3689.7200000000025	104	1140
2010-01-04	20	2302.5300000000025	81	714
2010-01-04	21	2238.9100000000026	58	688
2010-01-04	22	40.400000000000006	2	9
2010-01-05	9	2685.800000000003	56	642
2010-01-05	10	2457.220000000002	67	676
2010-01-05	11	3893.490000000004	94	1066
2010-01-05	12	5604.860000000002	114	1465
2010-01-05	13	5412.180000000007	112	1485
2010-01-05	14	5763.180000000008	132	1625
2010-01-05	15	5222.530000000004	133	1526
2010-01-05	16	5168.849999999997	131	1497
2010-01-05	17	4811.8200000000015	146	1351
2010-01-05	18	6420.040000000003	157	1873
2010-01-05	19	4712.239999999998	116	1372
2010-01-05	20	3511.890000000002	98	1053
2010-01-05	21	3131.870000000001	69	879
2010-01-05	22	218.99999999999994	3	52
2010-01-06	9	1431.5400000000006	39	383
2010-01-06	10	2641.9200000000023	72	745
2010-01-06	11	5530.640000000006	110	1498
2010-01-06	12	3737.84	126	1063
2010-01-06	13	5519.3600000000015	127	1633
2010-01-06	14	5279.360000000001	116	1499
2010-01-06	15	5205.500000000002	141	1476
2010-01-06	16	5074.250000000005	139	1504
2010-01-06	17	4893.749999999998	134	1362
2010-01-06	18	5517.64	136	1638
2010-01-06	19	4438.710000000001	133	1361
2010-01-06	20	3189.920000000001	84	855
2010-01-06	21	2497.580000000003	68	696
2010-01-06	22	18.48	1	6
2010-01-07	9	1168.53	40	338
2010-01-07	10	2168.2200000000016	61	609
2010-01-07	11	2600.660000000003	72	662
2010-01-07	12	4212.460000000003	96	1144
2010-01-07	13	3710.3900000000035	99	1092
2010-01-07	14	4267.5	101	1220
2010-01-07	15	3362.9900000000025	90	993
2010-01-07	16	3890.9200000000037	100	1022
2010-01-07	17	4105.42	100	1202
2010-01-07	18	4085.620000000002	91	1072
2010-01-07	19	3866.770000000004	96	1153
2010-01-07	20	3177.7100000000046	71	962
2010-01-07	21	2379.8400000000024	60	638
2010-01-07	22	70.02000000000001	2	21
2010-01-08	9	1473.6200000000008	45	412
2010-01-08	10	4031.740000000002	87	1221
2010-01-08	11	4007.7400000000034	94	1082
2010-01-08	12	4616.9699999999975	117	1248
2010-01-08	13	4716.680000000005	118	1340
2010-01-08	14	5356.760000000004	113	1482
2010-01-08	15	5242.530000000001	107	1434
2010-01-08	16	5198.4000000000015	125	1506
2010-01-08	17	6709.699999999993	128	1804
2010-01-08	18	5252.050000000002	130	1512
2010-01-08	19	4055.1800000000026	93	1143
2010-01-08	20	3397.3900000000026	77	1023
2010-01-08	21	1766.6400000000008	41	481
2010-01-08	22	42.83	1	7
2010-01-09	9	3301.900000000003	66	876
2010-01-09	10	5786.200000000004	105	1595
2010-01-09	11	8467.399999999949	147	2304
2010-01-09	12	7578.789999999959	149	2155
2010-01-09	13	7287.569999999971	182	2071
2010-01-09	14	8599.48999999993	159	2406
2010-01-09	15	8843.969999999914	166	2427
2010-01-09	16	9013.869999999912	185	2477
2010-01-09	17	8016.089999999946	148	2108
2010-01-09	18	6746.619999999991	130	1857
2010-01-09	19	3459.6800000000035	94	1029
2010-01-09	20	3551.130000000003	68	1034
2010-01-09	21	378.1300000000001	6	86
2010-01-10	9	4248.600000000002	70	1146
2010-01-10	10	7657.339999999955	120	1956
2010-01-10	11	7565.32999999962	143	2173
2010-01-10	12	8882.82999999992	169	2530
2010-01-10	13	8042.539999999943	158	2362
2010-01-10	14	8736.329999999922	192	2467
2010-01-10	15	9350.249999999907	179	2716
2010-01-10	16	8428.439999999926	160	2421
2010-01-10	17	8839.619999999913	169	2552
